代碼: 700390, 名稱: 建榮元富54購01, 市場: 上櫃
代碼: 700391, 名稱: 凱崴元富54購01, 市場: 上櫃
代碼: 700392, 名稱: 雍智元富54購01, 市場: 上櫃
代碼: 700393, 名稱: 騰雲元富54購01, 市場: 上櫃
代碼: 700394, 名稱: 良維兆豐56購01, 市場: 上櫃
代碼: 700395, 名稱: 中光電凱基57購02, 市場: 上櫃
代碼: 700396, 名稱: 光焱凱基54購01, 市場: 上櫃
代碼: 700397, 名稱: 系微凱基57購01, 市場: 上櫃
代碼: 700398, 名稱: 良維凱基54購05, 市場: 上櫃
代碼: 700399, 名稱: 宜鼎凱基55購01, 市場: 上櫃
代碼: 700400, 名稱: 原相凱基55購02, 市場: 上櫃
代碼: 700401, 名稱: 訊聯凱基54購01, 市場: 上櫃
代碼: 700402, 名稱: 博智凱基59購01, 市場: 上櫃
代碼: 700403, 名稱: 雷科凱基54購02, 市場: 上櫃
代碼: 700404, 名稱: 譜瑞凱基54購09, 市場: 上櫃
代碼: 700405, 名稱: 力旺國泰55購01, 市場: 上櫃
代碼: 700406, 名稱: 高技國泰55購01, 市場: 上櫃
代碼: 700407, 名稱: 力旺富邦56購02, 市場: 上櫃
代碼: 700408, 名稱: 信立富邦56購01, 市場: 上櫃
代碼: 700409, 名稱: 威剛富邦54購01, 市場: 上櫃
代碼: 700410, 名稱: 中光電統一5C購01, 市場: 上櫃
代碼: 700411, 名稱: 均豪統一56購05, 市場: 上櫃
代碼: 700412, 名稱: 旺矽統一6A購02, 市場: 上櫃
